State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Assam,Guwahati,2021-08-01,26.26,52.44,10.03,12.55,16.77,14.35,0.99,9.96,8.42,0.95,4.34,1.12,44,Good,17.7,88.4,1.955,4.27,5.63,431.6
Assam,Guwahati,2021-09-01,34.91,44.0,3.88,8.87,19.89,7.53,0.37,13.54,9.39,0.86,2.11,0.76,58,Satisfactory,11.1,99.3,2.076,4.62,6.0,433.8
Assam,Guwahati,2021-10-01,33.77,124.98,17.6,17.57,34.66,5.49,1.12,11.79,32.28,3.13,6.08,1.84,56,Satisfactory,10.2,68.2,1.658,5.03,5.84,432.0
Assam,Guwahati,2021-11-01,37.76,125.31,30.75,20.07,14.21,30.48,1.53,18.09,30.03,1.91,10.51,3.66,62,Satisfactory,8.6,71.7,1.926,3.29,5.79,433.7
Assam,Guwahati,2021-12-01,43.08,209.65,9.14,34.5,57.67,24.45,2.2,23.58,49.57,2.08,8.41,2.82,71,Satisfactory,2.8,79.3,2.059,2.94,5.96,430.7
Assam,Guwahati,2022-01-01,42.39,61.05,9.6,39.41,27.46,11.16,2.39,21.62,55.73,3.25,5.79,0.95,70,Satisfactory,6.0,58.7,1.762,3.65,6.08,436.6
Assam,Guwahati,2022-02-01,40.05,121.66,9.34,16.55,45.77,10.01,1.73,6.42,54.08,1.24,4.08,1.3,66,Satisfactory,7.3,65.2,1.832,3.85,5.9,438.6
Assam,Guwahati,2022-03-01,62.02,60.85,7.39,22.95,34.15,9.66,1.41,8.3,43.69,2.8,4.28,3.0,104,Moderate,8.3,59.0,1.892,3.89,6.02,441.0
Assam,Guwahati,2022-04-01,62.46,86.25,3.9,34.22,30.84,5.51,0.67,14.51,32.32,0.72,1.97,1.67,106,Moderate,12.3,46.8,1.791,4.35,6.12,439.6
Assam,Guwahati,2022-05-01,65.2,71.83,10.53,24.09,32.35,15.36,1.61,13.89,54.05,1.08,4.34,1.94,115,Moderate,12.6,44.7,1.92,4.54,5.98,435.8
Assam,Guwahati,2022-06-01,56.38,37.19,8.05,27.64,17.69,13.34,1.15,12.57,11.78,0.82,3.48,1.66,94,Satisfactory,18.4,86.3,1.779,4.1,5.99,437.1
Assam,Guwahati,2022-07-01,42.24,21.28,8.67,11.14,9.32,12.6,0.44,3.3,20.46,1.2,3.41,1.08,70,Satisfactory,14.9,75.9,1.827,4.23,5.87,440.0
Assam,Guwahati,2022-08-01,24.51,42.45,10.82,19.43,19.89,11.83,0.78,7.98,24.49,2.3,4.56,1.29,41,Good,20.7,100.0,1.743,4.38,6.16,437.5
Assam,Guwahati,2022-09-01,45.94,91.77,5.7,10.29,21.79,9.4,0.67,6.44,24.36,1.36,4.48,1.14,76,Satisfactory,15.4,76.3,1.667,3.95,6.0,436.4
Assam,Guwahati,2022-10-01,48.91,101.02,5.3,22.35,37.74,11.94,1.27,18.43,25.94,3.05,6.52,0.8,81,Satisfactory,5.6,73.3,1.768,4.66,6.08,440.7
Assam,Guwahati,2022-11-01,49.58,99.29,17.39,31.29,57.37,30.77,1.25,25.43,45.6,3.76,8.38,2.37,82,Satisfactory,5.7,56.4,1.887,4.84,5.85,436.7
Assam,Guwahati,2022-12-01,97.76,130.69,35.46,32.29,47.07,13.8,0.99,17.65,53.7,1.72,5.51,3.56,224,Poor,6.3,82.3,1.865,5.17,6.04,433.8
Assam,Guwahati,2023-01-01,83.4,114.88,8.5,22.15,49.71,19.86,1.41,25.23,55.37,3.55,4.92,0.79,177,Moderate,3.8,62.8,1.857,4.32,6.01,444.4
Assam,Guwahati,2023-02-01,45.41,92.29,14.27,52.52,28.2,14.71,1.89,21.49,27.71,4.51,3.28,1.07,75,Satisfactory,8.5,71.1,2.028,4.06,5.98,444.6
Assam,Guwahati,2023-03-01,75.73,86.43,22.91,22.36,28.44,17.71,1.0,17.4,22.05,3.28,1.88,1.2,151,Moderate,8.4,49.4,1.951,4.38,5.97,445.9
Assam,Guwahati,2023-04-01,38.82,128.6,4.31,24.68,32.02,22.57,1.38,15.94,46.88,2.7,5.38,0.76,64,Satisfactory,6.8,32.2,1.93,3.82,6.06,441.8
Assam,Guwahati,2023-05-01,72.18,103.39,7.31,18.48,15.71,15.24,1.88,21.41,43.66,1.04,3.88,1.34,139,Moderate,15.6,60.9,1.541,3.86,6.21,443.1
Assam,Guwahati,2023-06-01,33.21,89.35,14.94,25.96,25.22,8.88,0.3,2.17,12.79,0.64,5.79,1.52,55,Satisfactory,10.9,84.2,1.899,4.76,6.16,440.0
Assam,Guwahati,2023-07-01,40.99,60.84,4.17,8.75,8.34,5.69,0.72,6.24,8.47,1.36,1.31,1.0,68,Satisfactory,25.3,81.1,1.717,4.17,6.22,444.9
Assam,Guwahati,2023-08-01,25.12,27.55,12.36,15.36,2.64,9.94,0.58,8.71,6.91,1.32,2.76,1.33,42,Good,17.8,100.0,2.014,4.01,6.26,444.8
Assam,Guwahati,2023-09-01,41.7,24.72,11.12,16.59,17.26,6.93,0.62,7.65,27.6,1.82,3.83,1.37,69,Satisfactory,12.4,83.5,1.815,3.92,6.13,445.1
Assam,Guwahati,2023-10-01,33.13,62.92,5.48,33.35,20.97,13.24,1.35,15.83,19.67,2.55,6.57,0.55,55,Satisfactory,8.5,73.0,1.971,4.51,6.16,444.5
Assam,Guwahati,2023-11-01,49.2,160.61,19.45,45.45,20.62,27.22,1.8,16.37,29.34,3.42,9.74,3.41,82,Satisfactory,7.9,69.7,1.85,4.06,6.1,445.3
Assam,Guwahati,2023-12-01,86.77,92.31,13.46,51.31,38.21,28.28,1.31,11.69,40.07,3.4,3.73,2.44,189,Moderate,5.7,78.3,1.558,4.42,6.2,443.1
Assam,Guwahati,2024-01-01,75.07,91.07,21.13,34.25,36.2,32.22,2.08,14.62,21.18,4.95,3.33,3.28,149,Moderate,3.8,82.0,1.87,4.44,6.35,448.1
Assam,Guwahati,2024-02-01,48.4,85.4,9.27,17.68,50.03,13.63,1.97,9.02,18.9,2.72,7.22,1.34,80,Satisfactory,6.0,61.7,1.687,4.61,6.33,448.7
Assam,Guwahati,2024-03-01,45.55,84.42,21.28,19.02,20.33,12.59,1.21,14.55,29.45,1.82,4.87,1.87,76,Satisfactory,10.9,51.8,1.675,4.72,6.4,447.7
Assam,Guwahati,2024-04-01,37.92,112.85,7.16,24.53,29.03,22.96,0.71,2.9,15.15,1.16,6.0,2.31,63,Satisfactory,11.6,41.6,1.747,4.24,6.37,447.6
Assam,Guwahati,2024-05-01,65.45,61.46,26.16,33.26,12.16,13.63,1.69,4.76,47.79,0.99,6.85,1.94,116,Moderate,10.2,51.5,1.696,4.12,6.21,448.8
Assam,Guwahati,2024-06-01,27.1,70.32,11.23,14.25,11.29,11.43,0.73,13.14,21.87,1.1,5.34,1.11,45,Good,17.2,67.3,1.79,5.07,6.23,449.1
Assam,Guwahati,2024-07-01,28.69,25.53,12.53,8.24,20.55,11.03,0.94,1.35,28.96,1.71,3.22,0.52,48,Good,14.0,84.3,2.011,4.43,6.21,448.0
Assam,Guwahati,2024-08-01,30.68,26.83,7.53,5.89,17.53,6.93,0.77,8.05,21.03,1.73,1.25,0.26,50,Good,14.4,100.0,1.776,5.42,6.28,449.6
Assam,Guwahati,2024-09-01,43.24,62.27,3.78,9.35,14.38,7.05,1.1,5.26,15.7,2.06,5.53,1.57,72,Satisfactory,12.8,79.5,1.79,4.47,6.21,451.6
Assam,Guwahati,2024-10-01,36.14,102.72,19.58,18.53,30.89,24.06,1.58,14.64,43.38,1.79,2.51,2.3,60,Satisfactory,8.8,67.9,1.768,3.79,6.23,449.0
Assam,Guwahati,2024-11-01,68.32,178.55,24.68,47.19,14.49,17.98,1.19,21.95,23.78,1.89,5.33,3.63,126,Moderate,7.3,72.3,1.571,3.9,6.13,450.0
Assam,Guwahati,2024-12-01,91.37,199.28,12.55,57.62,36.95,28.8,0.86,24.36,61.84,2.99,9.92,4.53,202,Poor,6.2,65.8,1.772,4.83,6.28,452.6
Assam,Guwahati,2025-01-01,98.79,83.27,36.07,33.22,21.32,13.66,2.61,11.5,32.9,1.88,11.7,3.71,228,Poor,7.3,63.0,1.915,4.73,6.21,449.2
Assam,Guwahati,2025-02-01,64.48,175.87,8.89,38.49,17.53,11.31,1.55,18.72,15.23,1.19,3.09,3.17,113,Moderate,4.6,51.3,1.894,5.06,6.6,456.2
Assam,Guwahati,2025-03-01,36.71,157.22,13.79,27.22,34.71,23.18,1.24,16.98,32.41,3.89,2.88,1.7,61,Satisfactory,6.8,40.5,1.829,4.59,6.29,456.0
Assam,Guwahati,2025-04-01,51.62,127.64,8.2,19.95,37.87,10.41,2.0,15.88,46.36,1.8,7.48,1.45,86,Satisfactory,7.5,48.1,1.851,4.3,6.3,456.6
Assam,Guwahati,2025-05-01,70.99,56.32,9.38,45.19,37.09,24.62,1.04,19.54,35.06,2.42,6.5,2.75,135,Moderate,18.1,52.3,1.644,4.6,6.29,448.2
Assam,Guwahati,2025-06-01,36.21,30.39,13.24,17.59,10.34,11.39,0.43,6.7,28.55,0.49,2.48,0.93,60,Satisfactory,19.4,72.4,1.719,5.05,6.28,454.4
Assam,Guwahati,2025-07-01,17.44,73.77,9.65,9.38,1.25,6.23,0.34,5.6,18.23,1.16,5.17,0.25,29,Good,19.0,97.0,1.884,4.5,6.34,451.1
Assam,Guwahati,2025-08-01,32.34,62.7,6.75,23.38,15.55,15.24,0.72,11.21,18.92,0.74,2.44,0.79,53,Satisfactory,21.9,100.0,1.917,5.0,6.42,451.2
Assam,Guwahati,2025-09-01,15.53,56.08,3.68,20.65,14.39,5.52,0.64,9.39,16.82,2.7,3.74,1.35,26,Good,12.3,82.0,1.924,4.9,6.11,449.5
Assam,Guwahati,2025-10-01,52.12,116.25,18.73,21.78,25.94,16.11,1.91,15.25,38.06,1.53,5.27,1.26,87,Satisfactory,2.2,68.8,1.666,5.05,6.4,451.5
Assam,Guwahati,2025-11-01,99.7,170.99,11.36,18.87,40.06,18.64,1.32,10.13,61.52,4.52,12.11,3.11,231,Poor,6.1,60.1,1.929,4.5,6.41,453.5
Assam,Guwahati,2025-12-01,73.1,168.2,11.17,47.06,22.05,12.07,0.87,20.72,72.19,5.14,9.63,3.05,142,Moderate,5.7,77.8,1.793,5.33,6.22,450.2
Assam,Jorhat,2014-01-01,75.29,150.12,10.05,29.0,39.17,10.67,0.69,7.51,50.02,2.75,8.08,2.92,150,Moderate,4.5,78.2,2.076,4.62,4.92,400.6
Assam,Jorhat,2014-02-01,43.26,58.16,4.9,38.8,15.06,15.71,2.13,5.17,26.23,2.14,10.14,0.98,72,Satisfactory,4.3,49.9,2.026,3.57,4.97,401.0
Assam,Jorhat,2014-03-01,22.91,105.74,8.93,16.01,21.23,17.29,0.81,10.18,6.14,0.86,5.94,2.2,38,Good,2.6,35.9,2.143,3.09,4.86,398.2
Assam,Jorhat,2014-04-01,59.04,70.58,11.89,25.01,31.63,7.41,0.89,14.43,33.43,2.76,3.67,2.3,98,Satisfactory,6.0,51.5,1.986,3.42,4.9,398.2
Assam,Jorhat,2014-05-01,56.6,126.64,13.78,23.59,22.34,10.46,0.48,16.9,23.23,1.53,3.57,1.53,94,Satisfactory,11.8,47.3,1.868,3.55,4.97,398.6
Assam,Jorhat,2014-06-01,43.05,71.33,8.72,22.61,10.71,8.73,1.01,6.68,21.8,1.94,2.11,0.45,71,Satisfactory,14.8,79.3,1.954,3.52,5.0,401.0
Assam,Jorhat,2014-07-01,29.17,30.36,12.38,11.98,1.23,8.05,0.63,9.88,7.32,1.52,5.59,1.4,49,Good,18.4,83.0,2.074,2.08,5.14,400.3
Assam,Jorhat,2014-08-01,9.12,64.01,2.87,11.98,20.33,13.2,0.46,2.35,19.25,1.44,1.44,1.07,15,Good,14.5,84.6,1.705,3.13,5.02,402.1
Assam,Jorhat,2014-09-01,33.96,77.07,6.62,20.18,11.78,10.27,0.62,9.06,17.4,1.08,2.15,0.68,56,Satisfactory,16.7,91.9,1.829,3.14,5.11,397.3
Assam,Jorhat,2014-10-01,62.14,93.44,4.38,22.45,11.29,10.73,1.39,12.37,30.4,3.0,6.31,0.5,105,Moderate,8.3,84.9,1.852,3.07,5.11,402.8
Assam,Jorhat,2014-11-01,58.38,168.53,4.45,43.14,45.13,11.95,1.34,16.43,48.39,4.39,5.96,0.63,97,Satisfactory,4.8,73.3,1.806,3.79,4.88,401.4
Assam,Jorhat,2014-12-01,87.59,135.52,20.81,44.87,44.78,11.85,1.24,15.26,27.31,5.64,11.46,1.97,192,Moderate,6.2,74.2,2.067,3.87,5.06,404.7
Assam,Jorhat,2015-01-01,95.2,87.47,14.5,28.12,23.17,25.65,0.83,19.08,44.32,3.44,10.19,1.7,215,Poor,4.5,60.6,1.931,3.33,5.07,405.3
Assam,Jorhat,2015-02-01,68.33,72.05,2.41,31.97,28.77,9.78,1.48,4.3,32.14,3.4,4.13,1.9,126,Moderate,4.3,44.4,2.097,4.34,4.99,406.2
Assam,Jorhat,2015-03-01,43.57,106.94,14.07,15.88,26.95,9.68,1.44,15.64,14.53,1.81,5.43,0.75,72,Satisfactory,10.3,36.9,2.211,3.66,5.08,406.1
Assam,Jorhat,2015-04-01,59.94,54.09,18.21,34.57,14.28,18.01,1.01,10.6,17.68,1.76,6.79,0.57,100,Satisfactory,14.3,37.2,2.088,3.62,5.17,407.3
Assam,Jorhat,2015-05-01,34.4,79.5,12.22,24.56,12.27,14.44,1.8,13.34,31.28,1.71,3.05,0.34,57,Satisfactory,10.5,46.5,2.229,3.27,5.21,407.3
Assam,Jorhat,2015-06-01,22.67,26.63,9.01,16.38,25.59,6.11,0.3,9.08,19.98,0.79,2.9,0.5,38,Good,19.8,82.1,1.668,3.27,5.14,405.2
Assam,Jorhat,2015-07-01,10.82,48.92,8.94,17.0,18.71,1.12,0.73,4.86,23.2,1.55,4.5,1.31,18,Good,24.7,87.7,1.97,3.76,5.19,407.9
Assam,Jorhat,2015-08-01,12.48,55.65,5.58,11.64,7.47,11.75,0.58,1.68,23.35,0.43,4.15,0.85,21,Good,18.9,100.0,2.261,3.85,5.19,402.0
Assam,Jorhat,2015-09-01,36.09,71.55,11.7,17.24,26.92,0.5,0.9,4.84,11.68,1.13,5.0,1.19,60,Satisfactory,14.4,89.7,1.81,3.91,5.07,403.4
Assam,Jorhat,2015-10-01,57.12,100.51,9.47,25.69,24.68,7.67,1.53,8.33,13.71,1.12,1.99,1.95,95,Satisfactory,6.4,74.9,2.157,3.21,5.14,405.8
Assam,Jorhat,2015-11-01,93.66,106.45,17.4,22.93,49.34,17.84,1.62,24.38,49.66,1.92,2.76,2.35,210,Poor,8.0,83.5,2.19,4.43,5.16,405.5
Assam,Jorhat,2015-12-01,74.19,140.45,19.52,26.1,39.2,21.91,0.77,18.01,22.55,4.94,5.63,2.13,146,Moderate,6.8,74.1,1.886,3.1,5.29,401.9
Assam,Jorhat,2016-01-01,73.3,174.64,7.37,41.8,24.62,19.77,2.09,9.7,51.13,4.1,3.14,2.91,143,Moderate,6.2,86.4,1.782,3.44,5.19,411.9
Assam,Jorhat,2016-02-01,47.53,88.46,7.22,25.21,37.75,11.62,1.67,14.54,19.37,1.58,4.5,1.42,79,Satisfactory,4.8,54.6,2.231,3.84,5.15,411.3
Assam,Jorhat,2016-03-01,47.32,59.64,5.75,34.37,14.49,9.19,1.12,12.33,19.06,1.91,4.9,1.77,79,Satisfactory,10.5,49.3,2.007,3.49,5.23,405.5
Assam,Jorhat,2016-04-01,52.23,115.85,10.61,20.15,11.66,15.94,0.48,12.42,39.7,1.44,7.88,1.66,87,Satisfactory,9.3,46.5,2.01,3.42,5.12,410.3
Assam,Jorhat,2016-05-01,61.74,130.04,5.65,21.15,10.82,18.9,0.69,17.04,44.92,2.42,3.98,2.35,104,Moderate,11.4,44.4,2.029,3.51,5.27,412.3
Assam,Jorhat,2016-06-01,21.0,53.84,14.3,26.63,21.07,7.92,0.58,9.85,6.66,1.7,3.33,1.59,35,Good,15.5,71.0,2.062,3.26,5.21,406.4
Assam,Jorhat,2016-07-01,21.49,68.99,2.69,11.15,14.55,5.75,0.95,6.62,17.85,1.18,0.92,0.34,36,Good,16.1,79.0,2.068,3.13,5.31,411.7
Assam,Jorhat,2016-08-01,40.97,56.08,7.36,8.94,21.63,8.26,0.78,7.74,16.74,0.89,1.51,0.66,68,Satisfactory,21.9,89.6,1.892,4.14,5.2,406.8
Assam,Jorhat,2016-09-01,48.63,18.41,6.31,11.28,21.36,11.69,0.49,7.69,12.94,1.51,4.23,1.21,81,Satisfactory,11.4,77.7,1.517,4.27,5.34,409.0
Assam,Jorhat,2016-10-01,61.81,112.13,13.05,25.51,14.61,17.12,0.5,7.0,22.65,1.69,2.33,1.92,104,Moderate,7.9,86.0,2.108,3.99,5.12,405.9
Assam,Jorhat,2016-11-01,70.49,133.53,10.0,17.3,23.86,26.22,1.89,22.3,32.23,4.73,10.91,2.83,133,Moderate,5.1,79.9,2.438,4.29,5.29,411.7
Assam,Jorhat,2016-12-01,60.39,122.75,10.81,35.28,18.24,21.06,2.03,11.28,55.08,1.7,4.98,1.99,99,Satisfactory,5.8,82.9,2.013,3.3,5.18,408.9
Assam,Jorhat,2017-01-01,87.4,92.56,11.47,17.89,22.12,31.31,1.23,8.41,43.38,3.46,9.98,2.41,191,Moderate,4.9,63.8,1.892,3.78,5.43,414.0
Assam,Jorhat,2017-02-01,40.59,91.75,15.29,39.02,32.98,18.95,1.34,6.34,36.45,3.06,10.16,2.28,67,Satisfactory,9.7,57.4,1.795,4.01,5.58,413.8
Assam,Jorhat,2017-03-01,60.59,124.82,8.02,18.39,18.18,12.49,1.08,4.06,8.46,3.17,3.07,0.72,100,Satisfactory,5.8,44.2,1.743,3.78,5.24,413.3
Assam,Jorhat,2017-04-01,61.57,55.54,11.8,16.96,14.02,14.45,1.42,4.3,24.56,2.84,5.02,2.42,103,Moderate,9.5,33.9,1.845,4.26,5.35,415.8
Assam,Jorhat,2017-05-01,24.97,94.36,11.97,27.02,27.95,7.49,1.62,9.65,34.83,1.66,4.07,2.4,42,Good,13.6,52.8,2.062,4.06,5.3,413.1
Assam,Jorhat,2017-06-01,47.38,87.52,6.09,6.13,21.35,3.55,0.76,5.94,19.83,1.3,2.29,0.54,79,Satisfactory,18.4,65.4,2.081,4.12,5.15,416.3
Assam,Jorhat,2017-07-01,20.9,15.58,3.91,9.94,19.15,2.81,0.36,4.22,18.04,0.59,2.98,0.44,35,Good,19.7,88.7,1.972,3.31,5.36,417.0
Assam,Jorhat,2017-08-01,18.85,65.29,1.62,11.03,13.37,5.64,0.54,2.42,17.53,0.92,2.07,0.68,31,Good,16.6,100.0,2.115,3.64,5.27,410.8
Assam,Jorhat,2017-09-01,23.45,71.67,10.11,11.36,17.04,2.25,0.6,5.87,9.42,1.55,3.53,0.5,39,Good,9.3,87.8,1.937,4.66,5.41,416.2
Assam,Jorhat,2017-10-01,31.98,72.2,5.03,11.33,19.93,6.24,1.33,14.45,26.44,2.19,6.03,0.46,53,Satisfactory,7.5,70.6,2.107,3.66,5.38,413.5
Assam,Jorhat,2017-11-01,53.37,159.1,19.85,17.88,12.34,20.38,1.51,17.4,34.43,3.7,11.01,0.4,89,Satisfactory,8.3,69.3,1.995,4.14,5.4,415.4
Assam,Jorhat,2017-12-01,68.27,185.28,31.85,25.15,23.46,12.1,1.8,12.33,56.54,1.99,5.86,0.7,126,Moderate,4.6,63.9,1.73,3.55,5.53,414.2
Assam,Jorhat,2018-01-01,69.62,81.17,25.88,40.81,25.81,12.22,1.32,8.48,29.25,3.63,6.85,2.82,130,Moderate,5.3,78.1,2.053,3.67,5.46,420.9
Assam,Jorhat,2018-02-01,44.68,154.88,12.09,34.46,19.89,29.22,0.68,14.01,26.27,1.63,6.83,0.52,74,Satisfactory,6.4,55.3,1.813,3.08,5.49,419.0
Assam,Jorhat,2018-03-01,55.52,96.42,17.16,22.23,13.75,12.7,1.14,11.59,31.94,3.12,4.76,0.44,92,Satisfactory,9.5,54.2,1.652,3.09,5.41,420.9
Assam,Jorhat,2018-04-01,49.27,44.66,2.28,26.34,14.83,5.83,0.9,9.21,23.13,1.78,3.62,1.11,82,Satisfactory,10.5,38.9,1.932,4.27,5.51,421.4
Assam,Jorhat,2018-05-01,53.28,140.72,13.24,30.15,15.88,18.76,1.08,17.38,34.47,1.46,5.76,0.64,89,Satisfactory,9.4,53.6,1.831,3.04,5.32,416.1
Assam,Jorhat,2018-06-01,30.89,50.51,8.13,13.53,11.31,2.51,0.9,5.53,19.19,1.8,2.72,1.65,51,Satisfactory,15.9,80.9,2.099,3.7,5.53,416.9
Assam,Jorhat,2018-07-01,26.16,53.36,10.64,10.89,13.3,8.53,0.43,5.36,9.58,1.67,3.7,1.18,44,Good,11.5,88.3,1.789,4.15,5.55,418.9
Assam,Jorhat,2018-08-01,23.67,35.52,4.46,17.02,11.3,5.92,0.82,6.32,16.63,0.9,0.69,1.15,39,Good,17.7,91.8,1.841,3.96,5.51,416.8
Assam,Jorhat,2018-09-01,21.93,47.49,7.43,1.04,18.72,8.57,0.86,6.29,4.61,1.52,1.78,0.86,37,Good,8.5,94.7,1.924,2.98,5.45,419.6
Assam,Jorhat,2018-10-01,45.19,62.45,10.55,18.12,31.51,13.53,0.83,12.24,19.36,2.59,5.44,1.47,75,Satisfactory,11.9,70.4,1.883,3.58,5.58,422.5
Assam,Jorhat,2018-11-01,96.67,160.86,18.93,38.73,33.25,29.41,2.36,18.68,34.05,4.39,8.4,2.98,220,Poor,4.4,66.5,1.754,3.21,5.52,418.4
Assam,Jorhat,2018-12-01,59.35,103.26,9.56,24.58,48.69,5.46,1.86,8.58,31.34,5.14,9.21,2.95,99,Satisfactory,6.5,64.2,1.802,4.5,5.45,420.1
Assam,Jorhat,2019-01-01,43.89,142.25,24.93,17.58,31.31,22.96,0.8,12.22,20.12,2.31,7.26,1.62,73,Satisfactory,4.1,71.1,2.021,3.75,5.72,421.5
Assam,Jorhat,2019-02-01,69.89,147.45,9.04,32.91,31.82,31.19,0.62,14.98,27.32,1.61,4.31,1.15,131,Moderate,6.1,55.3,1.637,3.83,5.7,419.8
Assam,Jorhat,2019-03-01,32.62,132.12,21.82,35.95,30.13,5.94,0.64,10.17,23.06,1.32,7.49,1.24,54,Satisfactory,11.4,42.7,1.959,4.5,5.57,423.3
Assam,Jorhat,2019-04-01,53.18,101.8,2.71,26.64,14.79,21.58,0.78,2.38,35.58,1.05,3.75,1.85,88,Satisfactory,6.9,40.4,1.954,4.22,5.6,423.8
Assam,Jorhat,2019-05-01,66.94,59.05,10.12,25.9,31.55,17.95,1.83,7.42,45.47,2.36,3.7,2.65,121,Moderate,12.0,53.0,1.754,4.2,5.4,428.0
Assam,Jorhat,2019-06-01,46.72,25.02,11.61,25.75,5.7,7.58,0.27,6.98,22.98,1.47,2.73,1.27,78,Satisfactory,15.6,80.1,1.976,3.25,5.57,426.2
Assam,Jorhat,2019-07-01,30.64,55.32,5.07,21.27,7.83,9.44,0.46,5.83,17.48,0.87,2.69,0.89,50,Good,21.9,90.3,2.114,4.45,5.7,423.3
Assam,Jorhat,2019-08-01,38.81,48.94,9.53,18.66,8.55,5.23,0.51,5.04,14.24,1.53,3.39,1.0,64,Satisfactory,12.5,100.0,1.832,4.78,5.58,422.3
Assam,Jorhat,2019-09-01,16.21,63.65,10.27,14.85,10.61,4.92,0.25,4.62,10.89,1.07,2.1,0.96,27,Good,11.7,96.9,1.93,4.3,5.72,423.1
Assam,Jorhat,2019-10-01,23.75,46.29,2.05,11.87,15.0,4.01,1.11,13.61,18.27,2.2,7.12,1.25,40,Good,5.6,67.8,2.096,3.26,5.52,421.7
Assam,Jorhat,2019-11-01,52.34,148.07,14.7,30.5,23.09,20.68,1.36,15.26,27.26,1.2,2.03,1.54,87,Satisfactory,3.2,66.8,1.86,3.64,5.6,425.2
Assam,Jorhat,2019-12-01,98.97,182.5,11.97,51.7,37.17,16.98,2.25,15.22,54.37,1.62,10.67,1.74,228,Poor,2.6,72.6,1.678,4.43,5.49,421.1
Assam,Jorhat,2020-01-01,68.63,144.21,6.95,47.7,48.91,15.29,1.05,16.71,57.89,4.44,7.7,2.25,127,Moderate,6.3,62.8,1.929,3.6,5.86,426.8
Assam,Jorhat,2020-02-01,41.43,62.79,4.69,32.84,29.3,19.34,0.82,8.44,32.74,3.57,7.36,0.55,69,Satisfactory,6.3,48.5,1.859,4.94,5.77,426.8
Assam,Jorhat,2020-03-01,25.47,28.04,13.36,9.76,16.48,12.38,0.73,9.03,13.17,1.88,2.06,1.66,42,Good,8.1,62.1,1.837,4.37,5.82,426.6
Assam,Jorhat,2020-04-01,10.57,30.94,4.88,6.27,7.18,6.92,0.1,4.56,12.53,0.48,1.87,0.74,18,Good,8.5,50.0,2.03,4.24,5.79,430.8
Assam,Jorhat,2020-05-01,18.64,23.95,8.86,16.63,11.09,10.2,0.53,9.51,17.3,1.34,2.84,1.11,31,Good,17.6,46.1,1.81,3.62,5.71,428.3
Assam,Jorhat,2020-06-01,17.44,30.31,0.86,12.44,2.13,9.13,0.4,4.2,10.59,0.26,1.48,0.62,29,Good,16.9,69.9,1.829,5.32,5.67,432.1
Assam,Jorhat,2020-07-01,38.01,84.13,6.52,15.32,12.9,5.12,0.67,3.19,11.12,1.7,4.89,0.96,63,Satisfactory,13.9,89.2,1.668,4.39,5.82,426.1
Assam,Jorhat,2020-08-01,35.04,25.22,8.0,14.14,10.04,7.35,0.59,11.08,4.93,1.59,3.65,1.56,58,Satisfactory,14.4,96.4,1.816,4.89,5.97,429.6
Assam,Jorhat,2020-09-01,36.46,41.05,6.2,7.73,12.37,6.97,0.35,3.96,12.23,1.36,3.36,0.05,60,Satisfactory,14.2,81.5,1.702,4.08,5.65,430.0
Assam,Jorhat,2020-10-01,24.56,47.41,17.77,13.47,10.18,11.72,0.38,14.12,23.12,2.21,2.36,1.86,41,Good,8.2,78.3,1.975,3.82,5.75,425.5
Assam,Jorhat,2020-11-01,98.7,167.35,14.34,33.45,22.95,12.17,2.15,12.54,46.64,3.42,5.67,1.38,227,Poor,4.6,58.4,1.848,4.03,5.57,427.3
Assam,Jorhat,2020-12-01,52.98,119.25,31.45,24.87,14.24,13.23,2.16,10.38,37.2,5.12,4.85,3.07,88,Satisfactory,4.2,74.4,1.902,4.19,5.75,428.9
Assam,Jorhat,2021-01-01,60.07,82.82,25.75,18.38,31.05,18.32,1.04,4.23,49.48,1.56,4.63,1.76,98,Satisfactory,4.5,71.9,2.005,3.61,5.96,432.0
Assam,Jorhat,2021-02-01,47.67,129.3,9.4,28.14,30.01,14.81,0.74,14.77,26.96,2.22,3.16,2.55,79,Satisfactory,4.8,55.5,1.845,4.25,5.83,429.0
Assam,Jorhat,2021-03-01,64.41,108.8,5.85,26.04,17.14,20.35,1.14,17.84,36.22,1.32,3.42,1.96,113,Moderate,8.7,49.7,1.96,3.37,5.88,433.7
Assam,Jorhat,2021-04-01,37.28,57.41,17.97,20.68,34.49,14.33,1.3,7.34,23.64,2.73,4.97,0.5,62,Satisfactory,12.2,57.6,1.826,3.81,5.89,435.6
Assam,Jorhat,2021-05-01,70.3,90.68,22.75,12.02,15.98,18.91,1.03,6.22,47.24,2.17,4.8,1.35,133,Moderate,12.5,46.5,1.707,4.65,5.89,433.0
